code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603999 ,读者传媒,3.9,6.66,6.4,6.95,6.38,6.41,17745337.0,3.08079,118752202.0,50.84,2.259,383616.0,383616.0,出版业,甘肃,92.86,5.76,5.76,204549.59,125354.67,22742.56,28048.4,0.49,0.054000000000000006,2.95,2.26,20151210.0,73841.95,1.28,-10.42,-41.8,20.66,6.36,36477.0
603998 ,方盛制药,1.413,6.46,6.38,6.5,6.34,6.37,8239857.0,1.9378900000000001,53029224.0,46.143,2.659,282058.27712,274677.08112,中成药,湖南,34.72,4.25,4.37,167114.81,75463.47,38969.55,13916.74,0.32,0.14,2.43,2.66,20141205.0,44649.76,1.02,53.72,-19.23,74.07,7.64,20425.0
603997 ,继峰股份,0.104,9.59,9.56,9.74,9.51,9.58,3854296.0,0.6117900000000001,37066370.0,20.117,3.282,613197.2588,604170.0,汽车配件,浙江,20.28,6.3,6.39,253367.02,181259.75,48905.89,25971.31,0.41,0.48,2.92,3.28,20150302.0,86287.99,1.35,13.11,3.26,33.16,14.06,20200.0
603996 ,中新科技,-0.179,11.17,11.21,11.29,11.07,11.19,8882441.0,2.95933,99360695.0,22.796,2.135,335267.55,335267.55,家用电器,浙江,28.16,3.0,3.0,492129.5,429274.91,51519.3,55722.03,1.86,0.298,5.23,2.13,20151222.0,63321.55,2.11,38.21,27.56,10.07,1.57,26053.0
603993 ,洛阳钼业,-0.205,4.87,4.88,4.94,4.85,4.88,180005419.0,1.01895,880591054.0,34.786,2.549,10518830.163921,8603231.247921,小金属,河南,19.07,176.66,215.99,10456798.0,4073094.0,2386923.5,2758279.5,1.28,0.192,1.91,2.55,20121009.0,838140.63,0.39,13.43,155.92,40.24,20.6,336265.0
603991 ,至正股份,4.434,23.08,21.93,23.95,21.77,22.1,1858436.0,4.52406,42234325.0,45.255,3.497,172026.775384,94810.142744,塑料,上海,45.26,0.41,0.75,81741.49,54436.96,22376.88,24762.82,3.32,0.51,6.6,3.5,20170308.0,15199.12,2.04,33.3,0.13,23.07,6.67,8230.0
603990 ,麦迪科技,0.392,48.68,48.69,49.48,48.0,48.49,481646.0,0.79912,23530753.0,76.063,9.086,392530.35244,293404.096,软件服务,江苏,257.66,0.6,0.81,65030.3,38637.85,21198.32,17160.22,2.13,0.142,5.34,9.12,20161208.0,17924.31,2.22,-3.68,-60.95,75.01,7.12,5034.0
603989 ,艾华集团,0.375,21.43,21.26,21.77,21.26,21.35,1800456.0,0.46165000000000006,38709856.0,22.093,4.596,835773.647386,835773.647386,元器件,湖南,27.87,3.9,3.9,319598.31,226293.84,76649.84,83732.28,2.15,0.58,5.29,4.05,20150515.0,46165.65,1.18,27.19,0.39,30.6,14.01,12645.0
603988 ,中电电机,0.795,12.68,12.6,12.75,12.4,12.58,5969907.0,2.53823,75112881.0,45.286,4.501,298233.6,298233.6,电气设备,江苏,57.59,2.35,2.35,89817.02,73259.06,4758.22,17284.25,0.73,0.165,2.82,4.5,20141104.0,22441.3,0.95,54.48,61.1,33.75,12.05,20713.0
603987 ,康德莱,0.919,7.69,7.62,7.75,7.55,7.62,6568190.0,2.51709,50322791.0,20.237,2.6189999999999998,339597.321,200665.64378,医疗保健,上海,22.48,2.66,4.42,173505.22,85881.3,69665.24,37089.26,0.84,0.257,2.94,2.62,20161121.0,44014.85,1.0,14.12,25.32,34.15,10.59,25046.0
603986 ,兆易创新,0.799,102.19,101.35,104.2,100.13,101.38,5547977.0,2.67505,568568587.0,51.352,15.223,2908782.022872,2119391.772201,半导体,北京,59.39,2.07,2.85,283410.34,170805.91,23405.72,71454.4,2.51,1.31,6.71,15.22,20160818.0,105522.9,3.71,13.45,8.21,38.41,21.34,35091.0
603985 ,恒润股份,-1.287,28.37,28.57,29.39,27.88,28.74,1912772.0,2.87376,54587134.0,22.418,2.758,295048.0,188830.72,机械基件,江苏,23.69,0.67,1.04,138518.84,92500.11,31031.76,57970.61,5.57,1.0,10.29,2.76,20170505.0,37661.98,3.62,46.62,46.82,25.68,11.85,12117.0
603980 ,吉华集团,0.138,14.51,14.53,14.63,14.38,14.49,4684367.0,1.90706,68015528.0,16.433,1.732,725500.0,356413.610688,染料涂料,浙江,9.89,2.46,5.0,491578.81,343155.81,110271.61,134342.02,2.69,1.1,8.38,1.73,20170615.0,216273.59,4.33,13.9,81.26,39.25,25.24,36710.0
603979 ,金诚信,0.442,9.09,9.04,9.17,9.04,9.05,4108543.0,0.70423,37467087.0,25.971,1.324,530318.264688,530318.264688,建筑施工,北京,17.73,5.83,5.83,618179.63,456472.0,117460.9,160512.06,2.75,0.385,6.89,1.32,20150630.0,163899.77,2.81,25.74,34.6,25.49,10.11,31407.0
603978 ,深圳新星,-3.759,23.81,24.2,24.39,23.04,24.74,7199535.0,9.87107,171529646.0,15.166,2.784,380960.0,173659.85408,铝,深圳,34.83,0.76,1.6,173667.11,82959.34,51425.81,58081.53,3.63,0.513,8.55,2.78,20170807.0,57826.48,3.61,4.76,-0.58,19.68,10.52,11935.0
603977 ,国泰集团,5.018,8.79,8.34,8.79,8.34,8.37,5531112.0,3.14353,47414532.0,39.955,1.875,343894.66842,154661.808,化工原料,江西,48.89,1.76,3.91,273376.0,97858.06,86986.84,103370.24,2.64,0.22,4.69,1.87,20161111.0,35982.73,0.92,53.6,2.51,37.84,8.1,16000.0
603976 ,正川股份,-3.704,20.54,20.95,21.05,20.52,21.33,5510447.0,14.38761,114276339.0,22.571,3.197,310564.8,78668.072652,医疗保健,重庆,35.05,0.38,1.51,106871.21,69654.21,28750.9,55554.03,3.67,0.44,6.42,3.2,20170822.0,23167.85,1.53,18.87,3.17,28.75,14.61,14300.0
603970 ,中农立华,1.512,17.46,17.14,17.55,17.03,17.2,4179285.0,5.25035,72334691.0,19.866,3.324,279360.13968,138981.73968,其他商业,北京,23.1,0.8,1.6,269570.5,249929.45,3830.87,33324.87,2.08,0.5670000000000001,5.25,3.32,20171116.0,28625.77,1.79,2.0,25.08,11.11,3.08,16929.0
603969 ,银龙股份,1.434,5.66,5.62,5.72,5.55,5.58,26624441.0,3.16581,150049157.0,31.444,2.757,476006.0,476006.0,其他建材,天津,31.64,8.41,8.41,268801.09,205543.67,34134.76,23053.42,0.27,0.179,2.05,2.76,20150227.0,55051.9,0.65,7.3,27.22,17.28,6.44,42600.0
603968 ,醋化股份,-1.007,15.73,15.89,15.93,15.59,15.89,3942460.0,1.9280400000000002,61989407.0,19.911,2.3,321647.04,321647.04,化工原料,江苏,16.11,2.04,2.04,194619.86,120284.27,55861.35,39697.4,1.94,0.732,6.84,2.3,20150518.0,66507.15,3.25,29.44,40.81,19.0,9.99,14259.0
603966 ,法兰泰克,-1.157,11.11,11.16,11.26,11.09,11.24,4903352.0,5.27304,54770645.0,27.098,2.667,234398.3356,103310.894544,机械基件,江苏,36.99,0.93,2.11,137008.59,107469.51,19826.28,33283.28,1.58,0.225,4.17,2.67,20170125.0,29082.8,1.38,21.89,9.5,24.42,9.24,16665.0
603963 ,大理药业,0.618,16.28,15.8,16.46,15.4,16.18,6856083.0,8.97687,108489782.0,29.6,4.6129999999999995,211640.0,124338.5,化学制药,云南,293.61,0.76,1.3,60328.41,43237.87,9679.65,20749.92,1.6,0.042,3.53,4.61,20170922.0,9166.78,0.71,57.31,-86.15,80.19,1.76,16029.0
603960 ,克来机电,-3.254,35.97,38.75,38.75,35.31,37.18,1999042.0,3.85853,72487612.0,74.938,9.95,486314.4,186354.915516,专用机械,上海,74.65,0.52,1.35,94063.34,56575.51,15922.01,15515.67,1.15,0.48200000000000004,3.62,9.95,20170314.0,17837.28,1.32,131.51,32.31,28.01,11.17,4699.0
603959 ,百利科技,-0.467,19.19,19.28,19.5,19.1,19.28,3234260.0,2.17123,62440282.0,39.979,5.757,601798.4,285854.24,建筑施工,湖南,49.83,1.49,3.14,267237.56,228363.52,4442.65,18044.78,0.58,0.289,3.33,5.76,20160517.0,50650.17,1.62,29.21,55.43,40.24,16.37,10725.0
603958 ,哈森股份,0.762,9.26,9.27,9.3,9.16,9.19,2610603.0,3.95552,24158851.0,110.766,1.876,203633.5579,61115.070296,服饰,江苏,208.1,0.66,2.2,139301.16,113328.7,11591.17,48002.15,2.18,0.033,4.94,1.88,20160629.0,34070.55,1.55,-8.16,-64.93,53.12,0.74,20334.0
603956 ,威派格,-1.274,27.89,28.07,28.9,27.56,28.25,16131471.0,37.87077,455829821.0,99.607,14.157,1188002.7189,118800.5229,专用机械,上海,134.18,0.43,4.26,98239.92,0.0,0.0,0.0,0.0,0.156,2.06,13.53,20190222.0,0.0,0.0,0.0,0.0,0.0,15.52,42188.0
603955 ,大千生态,1.586,17.94,17.56,18.29,17.56,17.66,2015225.0,2.8256,36356263.0,18.678,1.859,202901.4,127948.462122,环境保护,江苏,26.97,0.71,1.13,277210.78,171486.56,1759.05,55745.85,4.93,0.499,9.65,1.86,20170310.0,37837.62,3.35,18.95,3.08,27.46,10.29,11052.0
603939 ,益丰药房,0.551,56.59,56.11,57.45,55.39,56.28,787328.0,0.21708000000000002,44543244.0,65.498,6.073,2132345.187954,2052489.069622,医药商业,湖南,51.8,3.63,3.77,656448.25,361399.69,39217.42,200596.44,5.32,0.85,9.32,6.07,20150217.0,95935.05,2.55,36.46,40.23,40.49,6.62,6559.0
