,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.927,6.41,6.35,6.55,6.32,6.47,7322056.0,1.27119,47102671.0,48.931,2.174,369216.0,369216.0
1,603998,方盛制药,-0.312,6.4,6.42,6.47,6.34,6.42,5285300.0,1.24302,33816009.0,45.714,2.634,279438.5408,272125.9008
2,603997,继峰股份,-0.915,9.75,9.86,9.95,9.57,9.84,5440550.0,0.8635800000000001,53081755.0,20.453,3.336,623427.87,614250.0
3,603996,中新科技,1.483,10.95,10.81,11.24,10.73,10.79,8187500.0,2.7278000000000002,89961808.0,22.347,2.093,328664.25,328664.25
4,603993,洛阳钼业,-0.404,4.93,4.92,4.97,4.87,4.95,165426165.0,0.93642,811894877.0,35.214,2.58,10648425.607419,8709225.883419
5,603991,至正股份,1.174,21.55,22.8,22.8,21.38,21.3,1684403.0,4.10041,36685806.0,42.255,3.266,160622.92069,88525.06829
6,603990,麦迪科技,1.943,49.33,48.04,49.84,48.04,48.39,721526.0,1.19712,35608214.0,77.078,9.207,397771.61639,297321.776
7,603989,艾华集团,-0.323,21.63,21.69,21.98,21.46,21.7,1489498.0,0.38192000000000004,32284433.0,22.299,4.639,843573.681426,843573.681426
8,603988,中电电机,2.364,12.99,12.52,13.3,12.26,12.69,8493546.0,3.6112,108734358.0,46.393,4.611,305524.8,305524.8
9,603987,康德莱,-0.655,7.58,7.65,7.7,7.55,7.63,4931176.0,1.88975,37541080.0,19.947,2.582,334739.622,197795.26396
10,603986,兆易创新,2.751,104.59,101.78,109.0,100.79,101.79,7308156.0,3.52375,769628732.0,52.558,15.58,2977096.699992,2169167.095161
11,603985,恒润股份,4.191,26.85,25.77,27.04,25.77,25.77,2085288.0,3.13294,55286577.0,21.217,2.61,279240.0,178713.6
12,603980,吉华集团,3.09,14.68,14.43,14.95,14.43,14.24,9538033.0,3.8830400000000003,140286007.0,16.625,1.752,734000.0,360589.373184
13,603979,金诚信,0.22,9.13,9.11,9.18,9.02,9.11,3338993.0,0.57233,30364824.0,26.086,1.33,532651.898416,532651.898416
14,603978,深圳新星,7.416,26.94,25.47,27.08,25.47,25.08,5727189.0,7.85238,150697213.0,17.159,3.149,431040.0,196488.72192
15,603977,国泰集团,2.297,8.46,8.26,8.53,8.18,8.27,4847080.0,2.75477,40460254.0,38.455,1.804,330983.94708,148855.392
16,603976,正川股份,-2.318,21.07,22.0,22.24,20.61,21.57,8967315.0,23.41339,189876005.0,23.154,3.2800000000000002,318578.4,80697.969366
17,603970,中农立华,-1.324,17.14,17.3,17.35,17.01,17.37,2208310.0,2.77426,37964821.0,19.502,3.263,274240.13712,136434.53712
18,603969,银龙股份,-1.406,5.61,5.83,5.95,5.55,5.69,29359144.0,3.49098,167668955.0,31.167,2.732,471801.0,471801.0
19,603968,醋化股份,0.852,15.39,15.3,15.41,15.18,15.26,3280576.0,1.6043500000000002,50163172.0,19.481,2.251,314694.72,314694.72
20,603966,法兰泰克,-2.675,11.28,11.92,12.1,11.06,11.59,10287509.0,11.06313,118046854.0,27.512,2.708,237984.9888,104891.709312
21,603963,大理药业,0.067,15.01,15.0,15.28,14.84,15.0,2403537.0,3.14702,36008981.0,27.291,4.253,195130.0,114638.875
22,603960,克来机电,0.22,36.5,36.42,37.2,35.76,36.42,1326759.0,2.56089,48283943.0,76.042,10.097,493480.0,189100.7622
23,603959,百利科技,-2.022,19.38,19.88,19.98,19.09,19.78,3971045.0,2.66585,77356438.0,40.375,5.814,607756.8,288684.48
24,603958,哈森股份,0.0,9.18,9.24,9.26,9.11,9.18,1732713.0,2.62536,15889517.0,109.809,1.8599999999999999,201874.3047,60587.078328
25,603956,威派格,-1.812,28.18,28.63,29.41,28.0,28.7,14313760.0,33.60345,407532351.0,100.643,14.305,1200355.5618,120035.8098
26,603955,大千生态,0.341,17.63,17.57,17.89,17.41,17.57,1105330.0,1.54981,19435897.0,18.355,1.827,199395.3,125737.535519
27,603939,益丰药房,-1.878,55.91,57.0,58.2,55.3,56.98,1707482.0,0.47078000000000003,96461738.0,64.711,6.0,2106722.379546,2027825.832878
28,603938,三孚股份,9.995,22.12,20.3,22.12,20.28,20.11,10600313.0,20.87226,228120427.0,20.294,3.208,332168.5192,112339.9592
29,603937,丽岛新材,-1.168,13.54,13.65,13.8,13.36,13.7,4590580.0,6.05152,62293464.0,23.345,2.19,282823.52,102712.094872
30,603936,博敏电子,0.897,19.13,19.01,19.34,18.8,18.96,2523830.0,1.50811,48261288.0,49.051,1.952,430477.310985,320140.55
31,603933,睿能科技,0.711,21.26,21.12,21.46,20.98,21.11,2590166.0,7.20732,55016537.0,13.515,2.933,305586.988,76404.188
32,603929,亚翔集成,4.978,18.98,18.06,18.98,18.06,18.08,8823455.0,9.1378,164054915.0,31.633,3.752,404957.28,183270.88
33,603928,兴业股份,0.196,15.3,15.27,15.38,15.16,15.27,3036696.0,4.8377,46422659.0,22.836,2.566,308448.0,96040.395
34,603926,铁流股份,-3.834,17.56,18.08,18.18,17.48,18.26,3454529.0,5.30711,61047094.0,17.216,1.9609999999999999,216813.32,114302.468632
35,603922,金鸿顺,3.301,20.03,19.5,20.32,19.28,19.39,4340853.0,13.56517,85952823.0,23.023,2.269,256384.0,64096.0
36,603920,世运电路,-0.497,14.02,14.09,14.22,13.92,14.09,3868700.0,3.01747,54356197.0,28.612,2.422,573841.404,179750.445236
37,603919,金徽酒,-3.224,15.01,15.5,15.5,14.9,15.51,8289535.0,2.27734,125087605.0,21.141,2.734,546364.0,546364.0
38,603918,金桥信息,0.409,14.74,14.74,15.07,14.55,14.68,1948479.0,1.10379,28873179.0,73.7,4.909,264605.11,260199.324
39,603917,合力科技,-0.683,13.09,13.2,13.2,12.93,13.18,2731175.0,3.403,35729477.0,13.821,2.33,205251.2,105057.606808
40,603916,苏博特,4.129,13.87,13.38,13.96,13.25,13.32,11378542.0,8.824,155545208.0,24.333,2.107,430857.68,178853.65
41,603912,佳力图,6.063,16.97,16.15,17.54,16.09,16.0,8727881.0,8.09636,147480002.0,24.243,5.339,368254.091,182936.6
42,603909,合诚股份,-0.333,26.9,27.06,27.37,26.64,26.99,1262200.0,5.0488,34012490.0,43.227,4.161,275725.0,67250.0
43,603908,牧高笛,0.829,25.55,25.48,25.68,25.21,25.34,919428.0,3.98896,23346281.0,31.938,3.748,170392.95,58890.974275
44,603906,龙蟠科技,0.802,10.05,10.02,10.27,9.96,9.97,2995935.0,3.2102,30205039.0,22.841,2.032,255334.32,93792.0672
45,603903,中持股份,2.065,23.72,23.23,23.85,23.23,23.24,2964710.0,3.99864,69798390.0,36.492,3.155,245018.112,175866.901872
46,603901,永创智能,1.11,8.2,8.16,8.26,8.14,8.11,4263987.0,2.31738,34947949.0,51.25,2.774,360299.00132,150880.0
47,603900,莱绅通灵,-0.206,14.5,14.55,14.67,14.36,14.53,4559756.0,5.35695,66269518.0,15.84,2.052,493687.068,123421.767
48,603899,晨光文具,3.284,34.6,33.98,34.93,33.45,33.5,5773322.0,0.6275400000000001,197412646.0,50.203,9.859,3183200.0,3183200.0
49,603898,好莱客,1.78,19.44,19.1,19.75,19.05,19.1,3454971.0,1.11594,67151544.0,16.904,2.718,611036.497584,601863.733584
50,603897,长城科技,1.01,25.99,25.76,26.32,25.6,25.73,3137986.0,7.03584,81570083.0,19.541,2.823,463661.6,115915.4
51,603896,寿仙谷,5.413,41.48,39.21,41.81,39.06,39.35,3089572.0,5.06019,125138098.0,58.423,6.442,594551.9208,253262.362
