code,name,trade_x,trade_y
603999 ,读者传媒,6.41,6.61
603998 ,方盛制药,6.4,6.43
603997 ,继峰股份,9.75,9.62
603996 ,中新科技,10.95,11.12
603993 ,洛阳钼业,4.93,4.9
603991 ,至正股份,21.55,21.99
603990 ,麦迪科技,49.33,48.43
603989 ,艾华集团,21.63,21.39
603988 ,中电电机,12.99,12.5
603987 ,康德莱,7.58,7.64
603986 ,兆易创新,104.59,101.5
603985 ,恒润股份,26.85,28.44
603980 ,吉华集团,14.68,14.46
603979 ,金诚信,9.13,9.13
603978 ,深圳新星,26.94,23.98
603977 ,国泰集团,8.46,8.52
603976 ,正川股份,21.07,20.77
603970 ,中农立华,17.14,17.25
603969 ,银龙股份,5.61,5.61
603968 ,醋化股份,15.39,15.71
603966 ,法兰泰克,11.28,11.21
603963 ,大理药业,15.01,15.84
603960 ,克来机电,36.5,35.71
603959 ,百利科技,19.38,19.25
603958 ,哈森股份,9.18,9.24
603956 ,威派格,28.18,28.24
603955 ,大千生态,17.63,18.09
603939 ,益丰药房,55.91,56.84
603938 ,三孚股份,22.12,22.96
603937 ,丽岛新材,13.54,13.57
603936 ,博敏电子,19.13,19.34
603933 ,睿能科技,21.26,21.3
603929 ,亚翔集成,18.98,19.05
603928 ,兴业股份,15.3,15.46
603926 ,铁流股份,17.56,17.49
603922 ,金鸿顺,20.03,21.17
603920 ,世运电路,14.02,14.01
603919 ,金徽酒,15.01,15.82
603918 ,金桥信息,14.74,14.89
603917 ,合力科技,13.09,13.15
603916 ,苏博特,13.87,13.95
603912 ,佳力图,16.97,16.92
603909 ,合诚股份,26.9,27.13
603908 ,牧高笛,25.55,25.6
603906 ,龙蟠科技,10.05,10.35
603903 ,中持股份,23.72,24.23
603901 ,永创智能,8.2,8.2
603900 ,莱绅通灵,14.5,14.34
603899 ,晨光文具,34.6,33.83
603898 ,好莱客,19.44,19.33
603897 ,长城科技,25.99,25.66
603896 ,寿仙谷,41.48,43.13
603895 ,天永智能,27.29,26.97
603890 ,春秋电子,14.04,14.09
603889 ,新澳股份,11.04,11.06
603888 ,新华网,22.35,26.15
603887 ,城地股份,18.99,18.97
